lat,lon,neutron_count
-88,-37,149.60875
-88,-36,145.80786
-88,-35,150.75888
-88,-34,150.10796
-88,-33,154.67754
-88,-32,155.61003
-88,-31,151.97063
-88,-30,153.3486
-88,-29,150.891
-88,-28,152.28423
-88,-27,150.07889
-88,-26,147.41188
-88,-25,147.79784
-88,-24,147.17029
-88,-23,149.97554
-88,-22,153.00089
-88,-21,151.01344
-88,-20,154.11111
-88,-19,150.35338
-88,-18,153.04753
-88,-17,148.80212
-88,-16,150.21785
-88,-15,155.35849
-88,-14,150.9479
-88,-13,147.88068
-88,-12,150.07211
-88,-11,147.43318
-88,-10,150.56828
-88,-9,150.16241
-88,-8,149.70404
-88,-7,147.38345
-88,-6,149.21243
-88,-5,149.55943
-88,-4,149.7623
-88,-3,150.28053
-88,-2,146.834
-88,-1,148.1997
-88,0,150.44617
-88,1,153.32822
-88,2,147.8521
-88,3,151.15213
-88,4,148.02547
-88,5,150.39705
-88,6,156.5871
-88,7,150.81314
-88,8,144.12991
-88,9,150.9904
-88,10,149.44203
-88,11,149.52118
-88,12,145.21082
-88,13,157.92844
-88,14,148.312
-88,15,152.54005
-88,16,150.14227
-88,17,152.39513
-88,18,149.69005
-88,19,150.21954
-88,20,152.03041
-88,21,149.3861
-88,22,147.39394
-88,23,150.22682
-88,24,150.55399
-88,25,148.73796
-88,26,149.34291
-88,27,156.42291
-88,28,150.16971
-88,29,154.0412
-88,30,149.1479
-88,31,149.48009
-88,32,151.16515
-88,33,153.73622
-88,34,153.56354
-88,35,149.75961
-88,36,142.43596
-88,37,149.06964
-88,38,148.5171
-88,39,149.86842
-88,40,150.91573
-88,41,149.65108
-88,42,147.64867
-88,43,150.09654
-88,44,149.41269
-88,45,147.5776
-88,46,152.42763
-88,47,146.27002
-88,48,152.32523
-88,49,149.75314
-88,50,151.9549
-88,51,148.13814
-88,52,149.25243
-88,53,152.35374
-88,54,148.46614
-88,55,151.28474
-88,56,152.57704
-88,57,152.53029
-88,58,150.28178
-88,59,151.67204
-88,60,146.64986
-88,61,150.58864
-88,62,147.2184
-88,63,148.65065
-88,64,144.87468
-88,65,149.8433
-88,66,146.21342
-88,67,149.31573
-88,68,145.82129
-88,69,153.7916
-88,70,148.95026
-88,71,153.77626
-88,72,148.39618
-88,73,150.0825
-88,74,147.32721
-88,75,145.12785
-88,76,153.1802
-88,77,152.30424
-88,78,146.44551
-88,79,150.15166
-88,80,153.53215
-88,81,153.16785
-88,82,149.87357
-88,83,153.62744
-88,84,154.10889
-88,85,150.32318
-88,86,148.67111
-88,87,149.23563
-88,88,145.96336
-88,89,151.17213
-88,90,154.97115
-88,91,150.53754
-88,92,150.21457
-88,93,151.02272
-88,94,150.15695
-88,95,146.46417
-88,96,147.51471
-88,97,148.13927
-88,98,151.79587
-88,99,148.03389
-88,100,147.38599
-88,101,149.49525
-88,102,150.4515
-88,103,146.79489
-88,104,148.60384
-88,105,149.16216
-88,106,150.51099
-88,107,150.55983
-88,108,150.69702
-88,109,152.22159
-88,110,150.29997
-88,111,150.77513
-88,112,153.8865
-88,113,151.90094
-88,114,148.52948
-88,115,153.25827
-88,116,148.17561
-88,117,149.29265
-88,118,154.05595
-88,119,151.74623
-88,120,148.87843
-88,121,149.09248
-88,122,150.29852
-88,123,150.749
-88,124,150.59425
-88,125,149.12532
-88,126,149.48041
-88,127,152.19443
-88,128,149.01823
-88,129,147.06424
-88,130,149.40558
-88,131,149.79117
-88,132,151.51534
-88,133,143.14554
-88,134,148.68526
-88,135,150.3642
-88,136,157.40038
-88,137,154.27155
-88,138,149.15231
-88,139,152.80809
-88,140,152.08968
-88,141,141.91185
